date,lower_bound,estimate,upper_bound
2020-03-22,NA,1.002871526048504,NA
2020-03-23,NA,0.9952504662024562,NA
2020-03-24,0.8220725806194775,0.9470387153049262,1.0910013901820619
2020-03-25,0.8406867357149163,0.9497941950697469,1.0730620273448694
2020-03-26,0.870427908609364,0.9733616392491679,1.0884679493738774
2020-03-27,0.8719861008526364,0.971437257243048,1.082230948219411
2020-03-28,0.8872530584823679,0.9794716603004692,1.0812752057149688
2020-03-29,0.899110051795375,0.9866135433277623,1.082633079158697
2020-03-30,0.908974133430443,0.9924400141205232,1.0835700878642376
2020-03-31,0.9312836062143953,1.0131280470642354,1.1021652619018536
2020-04-01,0.9230972722599248,1.0019071934268848,1.0874455535796266
2020-04-02,0.9218742093383453,0.997143032435825,1.0785573748168369
2020-04-03,0.9364488685106503,1.010092535859034,1.0895276456693481
2020-04-04,0.9476804435267364,1.0197766853644186,1.0973577592703598
2020-04-05,0.9594871010810228,1.0298348442439251,1.105340348217304
2020-04-06,0.9694875844928043,1.0400777188707133,1.1158076478691985
2020-04-07,0.9723440506491956,1.0434136903981817,1.119677884164008
2020-04-08,0.9850064867696143,1.0548760486497817,1.1297016750258657
2020-04-09,0.9932790496720876,1.061588029338668,1.134594698647076
2020-04-10,1.0033819558184218,1.0708749439627456,1.1429078816469573
2020-04-11,1.0014031019045526,1.0674895707227219,1.13793734155059
2020-04-12,1.0000123456672083,1.0652061970987443,1.134650234323378
2020-04-13,1.0000241924992919,1.0646572345947602,1.133467605760713
2020-04-14,1.0155194166025203,1.0805637313405096,1.1497741534030528
2020-04-15,1.0154495538338892,1.079698425301515,1.148012410067264
2020-04-16,1.0234038122687426,1.0878775591621404,1.1564131084336815
2020-04-17,1.0189360649353343,1.0822929994694062,1.1495894364822814
2020-04-18,1.0120502247874872,1.0742719126137275,1.14031904145181
2020-04-19,1.0131168982153178,1.0757483610292677,1.142251736493303
2020-04-20,1.0051570333305353,1.067455749368309,1.133615682998219
2020-04-21,1.005842963298433,1.0685262557672577,1.1351159186120778
2020-04-22,1.0125960255600315,1.0738456389509894,1.138800101112677
2020-04-23,1.016871698465466,1.0781642579679003,1.1431512637372812
2020-04-24,1.0154234244377853,1.076768559971596,1.1418197609388931
2020-04-25,1.0124640520018422,1.0738183346745898,1.138890623922331
2020-04-26,1.0117637614587291,1.072936180527623,1.1378071555216125
2020-04-27,1.014694459200646,1.0767456286122155,1.1425913862275845
2020-04-28,1.0235799531001946,1.085113888898648,1.1503470230287802
2020-04-29,1.023465560499561,1.0852546620134096,1.1507741216489569
2020-04-30,1.0232996991677044,1.0846211314793972,1.1496172624779126
2020-05-01,1.0177890969230652,1.0788662833907958,1.1436086915808772
2020-05-02,1.0160196958660241,1.0767319194109437,1.1410719998790764
2020-05-03,1.0204042512930198,1.081348668083883,1.1459330363285665
2020-05-04,1.0209333185724903,1.0816543513817005,1.145986828502056
2020-05-05,1.0185618294975944,1.0791748822519194,1.1433949248401467
2020-05-06,1.0192184036619583,1.0796210336344683,1.1436033455421624
2020-05-07,1.0212449088782165,1.081966533473079,1.1462985708703803
2020-05-08,1.0217536318476592,1.082388765403535,1.1466222413648008
2020-05-09,1.019212195008589,1.0793738762618499,1.1430867590303053
2020-05-10,1.0253010774297988,1.085781969785735,1.1498305345265862
2020-05-11,1.0201765355518475,1.0801869014545822,1.1437272877903315
2020-05-12,1.0146486575068148,1.0740802321141034,1.1369929250712463
2020-05-13,1.01011480612681,1.069269691034977,1.1318888360324664
2020-05-14,1.0121298591588526,1.0712848445709326,1.1338972048123768
2020-05-15,1.0133461199939517,1.0723857863377368,1.1348652272395046
2020-05-16,1.0110686360735275,1.0700620763501456,1.132497642978528
2020-05-17,1.0102855366100438,1.0690669580634515,1.1312684576857277
2020-05-18,1.006987000466675,1.0654106601570783,1.127223960438709
2020-05-19,1.008795014809488,1.0670026316589645,1.1285688363380364
2020-05-20,1.0223877529341399,1.0813905208701264,1.1437983830221938
2020-05-21,1.0231470443674913,1.0819650606285793,1.1441643690078778
2020-05-22,1.0267936521420187,1.0857649661585316,1.1481231494545532
2020-05-23,1.025432892340772,1.0843471937181797,1.146646304508971
2020-05-24,1.0213871436811426,1.080226559630564,1.1424555589428538
2020-05-25,1.0227370600206813,1.0816228703824453,1.143899130545541
2020-05-26,1.0206398488515467,1.079436801485642,1.1416209250625005
2020-05-27,1.0286720828180382,1.0878120754750262,1.150352120286523
2020-05-28,1.0294153541308029,1.0885148016986659,1.1510071894328195
2020-05-29,1.0326360575498055,1.0918636927436316,1.1544883745009644
2020-05-30,1.0366554517504927,1.0957554964881238,1.158224852873219
2020-05-31,1.036968635240888,1.0959423116302545,1.1582698932282098
2020-06-01,1.037958310115115,1.0970025803449766,1.1594055845557723
2020-06-02,1.0386773700174117,1.0974902457331805,1.159633274246926
2020-06-03,1.0384496045938665,1.097101153337381,1.1590653367574315
2020-06-04,1.0420883080137588,1.100766556650868,1.162748879267735
2020-06-05,1.0435469354077314,1.1019078768036776,1.163532686229949
2020-06-06,1.0426496560327274,1.1006905687431763,1.161962430151273
2020-06-07,1.0428612274448474,1.100823063028758,1.1620063956784747
2020-06-08,1.0454523930565567,1.1035275392685904,1.1648287746167234
2020-06-09,1.0471883234196728,1.1052432117736404,1.1665165948208884
2020-06-10,1.047381195212647,1.1052671020682927,1.166352205384421
2020-06-11,1.0494586586937444,1.1071276860669295,1.1679656965064023
2020-06-12,1.052986972094217,1.1105838090368418,1.1713311081539393
2020-06-13,1.0509340984542737,1.1084034828076832,1.1690155286684294
2020-06-14,1.0510915012189859,1.108515843200557,1.1690774525353433
2020-06-15,1.0542095953566237,1.111709558037876,1.1723457525680014
2020-06-16,1.0570659015142088,1.114438151473584,1.1749242801993502
2020-06-17,1.0561659132498378,1.113305257854541,1.173535882589474
2020-06-18,1.0553387278515882,1.112284598635326,1.1723032574384324
2020-06-19,1.0529826216453384,1.109433101065858,1.1689098950345012
2020-06-20,1.0543982899839166,1.1108181695904322,1.1702570248962183
2020-06-21,1.0564630933199435,1.112855796826745,1.1722586736457183
2020-06-22,1.0554714583749687,1.1115897764234692,1.1706918469890122
2020-06-23,1.0556143858754021,1.1114263035495378,1.170189081117347
2020-06-24,1.0552349289904641,1.1108034141047953,1.1692981258375497
2020-06-25,1.056501468658242,1.1120869560373237,1.1705969508580223
2020-06-26,1.0578462523399235,1.1133185031572181,1.1716996555317383
2020-06-27,1.0515567863928703,1.1065773784725585,1.1644768122771751
2020-06-28,1.0499841705671753,1.1048537980511988,1.1625907792579064
2020-06-29,1.0512920644550376,1.1060734789604432,1.1637094792433684
2020-06-30,1.0503824008411717,1.1047644402506929,1.161962031603935
2020-07-01,1.0509403472690886,1.1051508819899465,1.162157752470829
2020-07-02,1.050516683908202,1.1045520898717234,1.161366913946702
2020-07-03,1.0492184452285016,1.1029596982207899,1.1594535927495622
2020-07-04,1.0480586947816903,1.10161698705618,1.1579122354626517
2020-07-05,1.0462358576535051,1.0995970000475586,1.155679719509315
2020-07-06,1.04711141645924,1.1003829910990819,1.156364745973807
2020-07-07,1.0445192344020762,1.0972146623988643,1.1525685461141384
2020-07-08,1.045061588986865,1.0973591314077273,1.152273775989921
2020-07-09,1.0432915965175913,1.0953622069617102,1.1500316579227787
2020-07-10,1.04054212072814,1.0921218574092055,1.146258404797969
2020-07-11,1.038782951793063,1.0901028843390825,1.143958221872238
2020-07-12,1.0407850661664688,1.0920608441977646,1.1458627974194855
2020-07-13,1.042473866195859,1.0937091167123076,1.1474624647855445
2020-07-14,1.0394240425353245,1.0902725764694836,1.143608616269821
2020-07-15,1.0373397175006143,1.087538742316664,1.140167002271376
2020-07-16,1.0381383003288807,1.0880112457529885,1.1402801250179806
2020-07-17,1.03795599662432,1.0873961589161414,1.1391912665576611
2020-07-18,1.036829631710936,1.0859309840423441,1.1373576391303821
2020-07-19,1.0374366933184025,1.0863720586304344,1.1376156804304476
2020-07-20,1.0347574663062553,1.0833458737502497,1.1342158142247531
2020-07-21,1.0311766322050857,1.079223134742019,1.1295083094268021
2020-07-22,1.031808623953422,1.0794517989396744,1.1292948703699723
2020-07-23,1.0304147383468423,1.0776707426297338,1.1270939615861728
2020-07-24,1.0307339490607437,1.077643491666844,1.1266879258126268
2020-07-25,1.0383113705594014,1.0851691516479658,1.134141569743116
2020-07-26,1.0392340121298658,1.0858076779433508,1.1344685602278022
2020-07-27,1.0438263333325268,1.08972712252912,1.1376463341218446
2020-07-28,1.0467111568619838,1.0923750986600114,1.1400311808559545
2020-07-29,1.047028628659545,1.0921054413935467,1.1391229069336304
2020-07-30,1.0484422184260842,1.0933074572078847,1.1400925820984016
2020-07-31,1.0441878042215906,1.0884519905633165,1.1345925809241029
2020-08-01,1.047298275335819,1.091283671351226,1.137116406475457
2020-08-02,1.0475852617414743,1.0914842065343908,1.1372227317646344
2020-08-03,1.0487621058933863,1.092642334560766,1.1383585129226304
2020-08-04,1.0493998280189791,1.0927961056619742,1.1379869680409158
2020-08-05,1.0510213542539955,1.0940862341652196,1.138915668026049
2020-08-06,1.0494769180872474,1.092136058886774,1.1365292085648098
2020-08-07,1.0471775470387414,1.089355631074957,1.1332325586148333
2020-08-08,1.049683239863551,1.0918286696207788,1.135666264387379
2020-08-09,1.047815402485099,1.0897420806911606,1.1333463886984503
2020-08-10,1.0487171804067446,1.090542572926579,1.1340360638547562
2020-08-11,1.0461354768404332,1.0874476529199604,1.1303912581309998
2020-08-12,1.0465298098431215,1.0876740751597096,1.130435925138024
2020-08-13,1.0480922861916713,1.0890591713534354,1.131627333141283
2020-08-14,1.0496494332635056,1.0905475489004715,1.1330392021602358
2020-08-15,1.0519491205486629,1.0927184443763471,1.1350678234870282
2020-08-16,1.0528423065888435,1.0936040707266665,1.1359439642816205
2020-08-17,1.052248258051817,1.092819339598502,1.1349547028109177
2020-08-18,1.0530713352329242,1.0936014243086165,1.135691415420879
2020-08-19,1.051003680494202,1.0911237654296981,1.1327753590031797
2020-08-20,1.0505979073979508,1.0904570751883451,1.1318284801969516
2020-08-21,1.0496254813173433,1.0891881168941802,1.130241953057936
2020-08-22,1.0495274873803064,1.088895728101963,1.1297406889630668
2020-08-23,1.049653132048736,1.0889411355851037,1.1296996698851545
2020-08-24,1.0502451563168456,1.0895146940000726,1.130252552275477
2020-08-25,1.0512214229321917,1.0903462189726332,1.130927177941087
2020-08-26,1.0542781367735083,1.0933384660834027,1.133845955561549
2020-08-27,1.0549638843042917,1.093914049476083,1.1343022879217386
2020-08-28,1.0568170831383266,1.0955796872544197,1.1357640506340925
2020-08-29,1.0570052855263357,1.0956152105377408,1.1356354655917662
2020-08-30,1.05552517039584,1.0939062303048193,1.1336829042655074
2020-08-31,1.0555970355527282,1.0938650513529629,1.1335203778257028
2020-09-01,1.0558319266754492,1.0938910004370102,1.1333219716180296
2020-09-02,1.0593064688045413,1.0968770385931108,1.1357801290032439
2020-09-03,1.059868356058699,1.0973180033561099,1.1360909056357862
2020-09-04,1.059986323193747,1.09718345281168,1.1356859072451675
2020-09-05,1.0592388048352974,1.0962745733192203,1.134605279395057
2020-09-06,1.0578315421498707,1.0947939480289997,1.13304788227908
2020-09-07,1.0576553019810688,1.094614982007917,1.1328662151004267
